date,price,shares,investment,position,portfolio_value,type,stop_loss,take_profit
2022-04-26 04:00:00+00:00,416.1,47,19556.7,47,100000.0,buy,399.78535714285715,440.5719642857143
2022-04-27 04:00:00+00:00,417.27,-47,-19611.69,0,100054.99,sell,,
2022-06-10 04:00:00+00:00,389.8,50,19490.0,50,100054.99,buy,372.45155714285715,415.8226642857143
2022-06-13 04:00:00+00:00,375.0,-50,-18750.0,0,99314.99,sell,,
2022-06-30 04:00:00+00:00,377.25,51,19239.75,51,99314.99,buy,357.9181,406.24784999999997
2022-07-21 04:00:00+00:00,398.79,-51,-20338.29,0,100413.53,sell,,
2022-10-13 04:00:00+00:00,365.97,53,19396.41,53,100413.53,buy,347.02805714285716,394.38291428571426
2022-11-02 04:00:00+00:00,374.87,-53,-19868.11,0,100885.23,sell,,
2022-11-10 05:00:00+00:00,394.69,50,19734.5,50,100885.23,buy,378.02014285714284,419.6947857142857
2022-11-30 05:00:00+00:00,407.68,-50,-20384.0,0,101534.73,sell,,
2023-01-18 05:00:00+00:00,391.49,51,19965.99,51,101534.73,buy,378.878,410.408
2023-02-01 05:00:00+00:00,410.8,-51,-20950.8,0,102519.54,sell,,
2023-05-19 04:00:00+00:00,418.62,48,20093.760000000002,48,102519.54000000001,buy,409.5156285714286,432.27655714285714
2023-05-24 04:00:00+00:00,411.09,-48,-19732.32,0,102158.1,sell,,
2023-05-31 04:00:00+00:00,417.85,48,20056.800000000003,48,102158.1,buy,409.45707142857145,430.4393928571429
2023-06-12 04:00:00+00:00,433.8,-48,-20822.4,0,102923.70000000001,sell,,
2023-09-15 04:00:00+00:00,443.37,46,20395.02,46,102923.70000000001,buy,435.5841857142857,455.0487214285714
2023-09-21 04:00:00+00:00,431.39,-46,-19843.94,0,102372.62000000001,sell,,
2023-10-19 04:00:00+00:00,426.43,47,20042.21,47,102372.62,buy,414.5503428571429,444.2494857142857
2023-10-20 04:00:00+00:00,421.19,-47,-19795.93,0,102126.34,sell,,
2023-10-27 04:00:00+00:00,410.68,49,20123.32,49,102126.34,buy,399.13928571428573,427.99107142857144
2023-11-02 04:00:00+00:00,430.76,-49,-21107.239999999998,0,103110.25999999998,sell,,
2023-12-20 05:00:00+00:00,468.26,43,20135.18,43,103110.25999999998,buy,459.5608285714286,481.30875714285713
2023-12-29 05:00:00+00:00,475.31,-43,-20438.33,0,103413.40999999999,sell,,
2024-01-31 05:00:00+00:00,482.88,42,20280.96,42,103413.40999999997,buy,474.72214285714284,495.1167857142857
2024-02-07 05:00:00+00:00,498.1,-42,-20920.2,0,104052.64999999998,sell,,
2024-02-13 05:00:00+00:00,494.08,41,20257.28,41,104052.64999999998,buy,485.2581714285714,507.31274285714284
2024-02-22 05:00:00+00:00,507.5,-41,-20807.5,0,104602.86999999998,sell,,
2024-02-29 05:00:00+00:00,508.08,40,20323.2,40,104602.86999999998,buy,498.875,521.8875
