date,price,shares,investment,position,portfolio_value,type,stop_loss,take_profit
2022-05-09 04:00:00+00:00,787.11,23,18103.53,23,100000.0,buy,652.0279142857144,989.7331285714286
2022-05-11 04:00:00+00:00,734.0,-23,-16882.0,0,98778.47,sell,,
2022-06-15 04:00:00+00:00,699.0,26,18174.0,26,98778.47,buy,603.0891,842.86635
2022-07-21 04:00:00+00:00,815.12,-26,-21193.12,0,101797.59,sell,,
2022-09-15 04:00:00+00:00,303.75,64,19440.0,64,101797.59,buy,281.3749571428571,337.3125642857143
2022-09-22 04:00:00+00:00,288.59,-64,-18469.76,0,100827.34999999999,sell,,
2022-09-29 04:00:00+00:00,268.21,71,19042.91,71,100827.34999999999,buy,243.23359999999997,305.6746
2022-10-03 04:00:00+00:00,242.4,-71,-17210.4,0,98994.84,sell,,
2022-10-04 04:00:00+00:00,249.44,74,18458.56,74,98994.84,buy,221.80074285714286,290.8988857142857
2022-10-11 04:00:00+00:00,216.5,-74,-16021.0,0,96557.28,sell,,
2022-10-12 04:00:00+00:00,217.24,83,18030.920000000002,83,96557.28,buy,189.07118571428572,259.4932214285714
2022-11-04 04:00:00+00:00,207.47,-83,-17220.01,0,95746.37,sell,,
2022-11-07 05:00:00+00:00,197.08,90,17737.2,90,95746.37,buy,171.76307142857144,235.05539285714286
2022-11-21 05:00:00+00:00,167.87,-90,-15108.300000000001,0,93117.47,sell,,
2022-11-22 05:00:00+00:00,169.91,102,17330.82,102,93117.47,buy,146.94304285714287,204.3604357142857
2022-12-06 05:00:00+00:00,179.82,-102,-18341.64,0,94128.29,sell,,
2022-12-12 05:00:00+00:00,167.82,106,17788.92,106,94128.29,buy,150.16615714285714,194.30076428571425
2022-12-14 05:00:00+00:00,156.8,-106,-16620.800000000003,0,92960.17,sell,,
2023-03-10 05:00:00+00:00,173.44,100,17344.0,100,92960.17,buy,153.37605714285715,203.53591428571426
2023-03-31 04:00:00+00:00,207.46,-100,-20746.0,0,96362.17,sell,,
2023-04-21 04:00:00+00:00,165.08,110,18158.800000000003,110,96362.17,buy,148.3927285714286,190.11090714285717
2023-05-19 04:00:00+00:00,180.14,-110,-19815.399999999998,0,98018.76999999999,sell,,
2023-08-16 04:00:00+00:00,225.6,83,18724.8,83,98018.76999999999,buy,207.9142857142857,252.12857142857143
2023-08-18 04:00:00+00:00,215.49,-83,-17885.670000000002,0,97179.63999999998,sell,,
2023-08-29 04:00:00+00:00,257.18,72,18516.96,72,97179.63999999998,buy,236.73368571428574,287.8494714285714
2023-09-11 04:00:00+00:00,273.58,-72,-19697.76,0,98360.43999999999,sell,,
2023-10-20 04:00:00+00:00,211.99,88,18655.120000000003,88,98360.43999999997,buy,190.1796857142857,244.70547142857146
2023-10-23 04:00:00+00:00,212.08,-88,-18663.04,0,98368.35999999999,sell,,
2024-01-12 05:00:00+00:00,218.89,86,18824.539999999997,86,98368.35999999999,buy,203.81437142857143,241.50344285714283
2024-01-24 05:00:00+00:00,207.83,-86,-17873.38,0,97417.2,sell,,
2024-01-26 05:00:00+00:00,183.25,100,18325.0,100,97417.2,buy,164.8788142857143,210.80677857142857
