date,price,shares,investment,position,portfolio_value,type
2022-03-01 05:00:00+00:00,12.18,82,998.76,82,998.76,buy
2022-03-08 05:00:00+00:00,11.04,90,993.5999999999999,172,1898.8799999999999,buy
2022-03-16 04:00:00+00:00,11.79,84,990.3599999999999,256,3018.24,buy
2022-03-23 04:00:00+00:00,13.18,75,988.5,331,4362.58,buy
2022-03-30 04:00:00+00:00,13.88,72,999.36,403,5593.64,buy
2022-04-06 04:00:00+00:00,13.0,76,988.0,479,6227.0,buy
2022-04-13 04:00:00+00:00,12.9,77,993.3000000000001,556,7172.400000000001,buy
2022-04-20 04:00:00+00:00,12.79,78,997.6199999999999,634,8108.86,buy
2022-04-27 04:00:00+00:00,10.56,94,992.6400000000001,728,7687.68,buy
2022-05-04 04:00:00+00:00,10.98,91,999.1800000000001,819,8992.62,buy
2022-05-11 04:00:00+00:00,6.71,149,999.79,968,6495.28,buy
2022-05-18 04:00:00+00:00,8.01,124,993.24,1092,8746.92,buy
2022-05-25 04:00:00+00:00,7.96,125,995.0,1217,9687.32,buy
2022-06-01 04:00:00+00:00,8.46,118,998.2800000000001,1335,11294.1,buy
2022-06-08 04:00:00+00:00,9.18,108,991.4399999999999,1443,13246.74,buy
2022-06-15 04:00:00+00:00,8.12,123,998.7599999999999,1566,12715.919999999998,buy
2022-06-22 04:00:00+00:00,9.01,110,991.1,1676,15100.76,buy
2022-06-29 04:00:00+00:00,9.23,108,996.84,1784,16466.32,buy
2022-07-06 04:00:00+00:00,9.8,102,999.6,1886,18482.800000000003,buy
2022-07-13 04:00:00+00:00,9.28,107,992.9599999999999,1993,18495.039999999997,buy
2022-07-20 04:00:00+00:00,10.11,98,990.78,2091,21140.01,buy
2022-07-27 04:00:00+00:00,10.02,99,991.9799999999999,2190,21943.8,buy
2022-08-03 04:00:00+00:00,11.2,89,996.8,2279,25524.8,buy
2022-08-10 04:00:00+00:00,9.59,104,997.36,2383,22852.97,buy
2022-08-17 04:00:00+00:00,9.43,106,999.5799999999999,2489,23471.27,buy
2022-08-24 04:00:00+00:00,8.1,123,996.3,2612,21157.2,buy
2022-08-31 04:00:00+00:00,7.72,129,995.88,2741,21160.52,buy
