date,price,shares,investment,position,portfolio_value,type
2022-03-01 05:00:00+00:00,429.98,2,859.96,2,859.96,buy
2022-03-08 05:00:00+00:00,416.25,2,832.5,4,1665.0,buy
2022-03-16 04:00:00+00:00,435.62,2,871.24,6,2613.7200000000003,buy
2022-03-23 04:00:00+00:00,443.8,2,887.6,8,3550.4,buy
2022-03-30 04:00:00+00:00,458.79,2,917.58,10,4587.900000000001,buy
2022-04-06 04:00:00+00:00,446.52,2,893.04,12,5358.24,buy
2022-04-13 04:00:00+00:00,443.31,2,886.62,14,6206.34,buy
2022-04-20 04:00:00+00:00,444.71,2,889.42,16,7115.36,buy
2022-04-27 04:00:00+00:00,417.27,2,834.54,18,7510.86,buy
2022-05-04 04:00:00+00:00,429.06,2,858.12,20,8581.2,buy
2022-05-11 04:00:00+00:00,392.75,2,785.5,22,8640.5,buy
2022-05-18 04:00:00+00:00,391.86,2,783.72,24,9404.64,buy
2022-05-25 04:00:00+00:00,397.37,2,794.74,26,10331.62,buy
2022-06-01 04:00:00+00:00,409.59,2,819.18,28,11468.519999999999,buy
2022-06-08 04:00:00+00:00,411.22,2,822.44,30,12336.6,buy
2022-06-15 04:00:00+00:00,379.2,2,758.4,32,12134.4,buy
2022-06-22 04:00:00+00:00,374.39,2,748.78,34,12729.26,buy
2022-06-29 04:00:00+00:00,380.34,2,760.68,36,13692.24,buy
2022-07-06 04:00:00+00:00,383.25,2,766.5,38,14563.5,buy
2022-07-13 04:00:00+00:00,378.83,2,757.66,40,15153.199999999999,buy
2022-07-20 04:00:00+00:00,394.77,2,789.54,42,16580.34,buy
2022-07-27 04:00:00+00:00,401.04,2,802.08,44,17645.760000000002,buy
2022-08-03 04:00:00+00:00,414.45,2,828.9,46,19064.7,buy
2022-08-10 04:00:00+00:00,419.99,2,839.98,48,20159.52,buy
2022-08-17 04:00:00+00:00,426.65,2,853.3,50,21332.5,buy
2022-08-24 04:00:00+00:00,413.67,2,827.34,52,21510.84,buy
2022-08-31 04:00:00+00:00,395.18,2,790.36,54,21339.72,buy
2022-09-07 04:00:00+00:00,397.78,2,795.56,56,22275.68,buy
2022-09-14 04:00:00+00:00,394.6,2,789.2,58,22886.800000000003,buy
2022-09-21 04:00:00+00:00,377.39,2,754.78,60,22643.399999999998,buy
2022-09-28 04:00:00+00:00,370.53,2,741.06,62,22972.859999999997,buy
2022-10-05 04:00:00+00:00,377.09,2,754.18,64,24133.76,buy
2022-10-12 04:00:00+00:00,356.56,2,713.12,66,23532.96,buy
2022-10-19 04:00:00+00:00,368.5,2,737.0,68,25058.0,buy
2022-10-26 04:00:00+00:00,382.02,2,764.04,70,26741.399999999998,buy
2022-11-02 04:00:00+00:00,374.87,2,749.74,72,26990.64,buy
2022-11-09 05:00:00+00:00,374.13,2,748.26,74,27685.62,buy
2022-11-16 05:00:00+00:00,395.45,2,790.9,76,30054.2,buy
2022-11-23 05:00:00+00:00,402.42,2,804.84,78,31388.760000000002,buy
2022-11-30 05:00:00+00:00,407.68,2,815.36,80,32614.4,buy
2022-12-07 05:00:00+00:00,393.16,2,786.32,82,32239.120000000003,buy
2022-12-14 05:00:00+00:00,399.4,2,798.8,84,33549.6,buy
2022-12-21 05:00:00+00:00,386.23,2,772.46,86,33215.78,buy
2022-12-28 05:00:00+00:00,376.66,2,753.32,88,33146.08,buy
2023-01-04 05:00:00+00:00,383.76,2,767.52,90,34538.4,buy
2023-01-11 05:00:00+00:00,395.52,2,791.04,92,36387.84,buy
2023-01-18 05:00:00+00:00,391.49,2,782.98,94,36800.06,buy
2023-01-25 05:00:00+00:00,400.35,2,800.7,96,38433.600000000006,buy
2023-02-01 05:00:00+00:00,410.8,2,821.6,98,40258.4,buy
2023-02-08 05:00:00+00:00,410.65,2,821.3,100,41065.0,buy
2023-02-15 05:00:00+00:00,413.98,2,827.96,102,42225.96,buy
2023-02-22 05:00:00+00:00,398.54,2,797.08,104,41448.16,buy
2023-03-01 05:00:00+00:00,394.74,2,789.48,106,41842.44,buy
2023-03-08 05:00:00+00:00,398.92,2,797.84,108,43083.36,buy
2023-03-16 04:00:00+00:00,396.11,2,792.22,110,43572.1,buy
2023-03-23 04:00:00+00:00,393.17,2,786.34,112,44035.04,buy
2023-03-30 04:00:00+00:00,403.7,2,807.4,114,46021.799999999996,buy
2023-04-06 04:00:00+00:00,409.19,2,818.38,116,47466.04,buy
2023-04-13 04:00:00+00:00,413.47,2,826.94,118,48789.46000000001,buy
2023-04-20 04:00:00+00:00,411.88,2,823.76,120,49425.6,buy
2023-04-27 04:00:00+00:00,412.41,2,824.82,122,50314.020000000004,buy
2023-05-04 04:00:00+00:00,405.13,2,810.26,124,50236.12,buy
2023-05-11 04:00:00+00:00,412.13,2,824.26,126,51928.38,buy
2023-05-18 04:00:00+00:00,419.23,2,838.46,128,53661.44,buy
2023-05-25 04:00:00+00:00,414.65,2,829.3,130,53904.5,buy
2023-06-01 04:00:00+00:00,421.82,2,843.64,132,55680.24,buy
2023-06-08 04:00:00+00:00,429.13,2,858.26,134,57503.42,buy
2023-06-15 04:00:00+00:00,442.6,2,885.2,136,60193.600000000006,buy
2023-06-22 04:00:00+00:00,436.51,2,873.02,138,60238.38,buy
2023-06-29 04:00:00+00:00,438.11,2,876.22,140,61335.4,buy
2023-07-06 04:00:00+00:00,439.66,2,879.32,142,62431.72,buy
2023-07-13 04:00:00+00:00,449.56,2,899.12,144,64736.64,buy
2023-07-20 04:00:00+00:00,452.18,2,904.36,146,66018.28,buy
2023-07-27 04:00:00+00:00,452.49,2,904.98,148,66968.52,buy
2023-08-03 04:00:00+00:00,448.84,2,897.68,150,67326.0,buy
2023-08-10 04:00:00+00:00,445.91,2,891.82,152,67778.32,buy
2023-08-17 04:00:00+00:00,436.29,2,872.58,154,67188.66,buy
2023-08-24 04:00:00+00:00,436.89,2,873.78,156,68154.84,buy
2023-08-31 04:00:00+00:00,450.35,2,900.7,158,71155.3,buy
2023-09-07 04:00:00+00:00,444.85,2,889.7,160,71176.0,buy
2023-09-14 04:00:00+00:00,450.36,2,900.72,162,72958.32,buy
2023-09-21 04:00:00+00:00,431.39,2,862.78,164,70747.95999999999,buy
2023-09-28 04:00:00+00:00,428.52,2,857.04,166,71134.31999999999,buy
2023-10-05 04:00:00+00:00,424.5,2,849.0,168,71316.0,buy
2023-10-12 04:00:00+00:00,433.66,2,867.32,170,73722.2,buy
2023-10-19 04:00:00+00:00,426.43,2,852.86,172,73345.96,buy
2023-10-26 04:00:00+00:00,412.55,2,825.1,174,71783.7,buy
2023-11-02 04:00:00+00:00,430.76,2,861.52,176,75813.76,buy
2023-11-09 05:00:00+00:00,433.84,2,867.68,178,77223.51999999999,buy
2023-11-16 05:00:00+00:00,450.23,2,900.46,180,81041.40000000001,buy
2023-11-24 05:00:00+00:00,455.3,2,910.6,182,82864.6,buy
2023-12-01 05:00:00+00:00,459.1,2,918.2,184,84474.40000000001,buy
2023-12-08 05:00:00+00:00,460.2,2,920.4,186,85597.2,buy
2023-12-15 05:00:00+00:00,469.33,2,938.66,188,88234.04,buy
2023-12-22 05:00:00+00:00,473.65,2,947.3,190,89993.5,buy
2023-12-29 05:00:00+00:00,475.31,2,950.62,192,91259.52,buy
2024-01-05 05:00:00+00:00,467.92,2,935.84,194,90776.48,buy
2024-01-12 05:00:00+00:00,476.68,2,953.36,196,93429.28,buy
2024-01-19 05:00:00+00:00,482.43,2,964.86,198,95521.14,buy
2024-01-26 05:00:00+00:00,487.41,2,974.82,200,97482.0,buy
2024-02-02 05:00:00+00:00,494.35,2,988.7,202,99858.70000000001,buy
2024-02-09 05:00:00+00:00,501.2,1,501.2,203,101743.59999999999,buy
2024-02-16 05:00:00+00:00,499.51,2,999.02,205,102399.55,buy
2024-02-23 05:00:00+00:00,507.85,1,507.85,206,104617.1,buy
2024-03-01 05:00:00+00:00,512.85,1,512.85,207,106159.95000000001,buy
