date,price,shares,investment,position,portfolio_value,type
2022-03-01 05:00:00+00:00,864.37,1,864.37,1,864.37,buy
2022-03-08 05:00:00+00:00,824.4,1,824.4,2,1648.8,buy
2022-03-16 04:00:00+00:00,840.23,1,840.23,3,2520.69,buy
2022-03-23 04:00:00+00:00,999.11,1,999.11,4,3996.44,buy
2022-04-20 04:00:00+00:00,977.2,1,977.2,5,4886.0,buy
2022-04-27 04:00:00+00:00,881.51,1,881.51,6,5289.0599999999995,buy
2022-05-04 04:00:00+00:00,952.62,1,952.62,7,6668.34,buy
2022-05-11 04:00:00+00:00,734.0,1,734.0,8,5872.0,buy
2022-05-18 04:00:00+00:00,709.81,1,709.81,9,6388.289999999999,buy
2022-05-25 04:00:00+00:00,658.8,1,658.8,10,6588.0,buy
2022-06-01 04:00:00+00:00,740.37,1,740.37,11,8144.07,buy
2022-06-08 04:00:00+00:00,725.6,1,725.6,12,8707.2,buy
2022-06-15 04:00:00+00:00,699.0,1,699.0,13,9087.0,buy
2022-06-22 04:00:00+00:00,708.26,1,708.26,14,9915.64,buy
2022-06-29 04:00:00+00:00,685.47,1,685.47,15,10282.050000000001,buy
2022-07-06 04:00:00+00:00,695.2,1,695.2,16,11123.2,buy
2022-07-13 04:00:00+00:00,711.12,1,711.12,17,12089.04,buy
2022-07-20 04:00:00+00:00,742.5,1,742.5,18,13365.0,buy
2022-07-27 04:00:00+00:00,824.46,1,824.46,19,15664.740000000002,buy
2022-08-03 04:00:00+00:00,922.19,1,922.19,20,18443.800000000003,buy
2022-08-10 04:00:00+00:00,883.07,1,883.07,21,18544.47,buy
2022-08-17 04:00:00+00:00,911.99,1,911.99,22,20063.78,buy
2022-08-24 04:00:00+00:00,891.29,1,891.29,23,20499.67,buy
2022-08-31 04:00:00+00:00,275.61,3,826.83,26,7165.860000000001,buy
2022-09-07 04:00:00+00:00,283.7,3,851.0999999999999,29,8227.3,buy
2022-09-14 04:00:00+00:00,302.61,3,907.83,32,9683.52,buy
2022-09-21 04:00:00+00:00,300.8,3,902.4000000000001,35,10528.0,buy
2022-09-28 04:00:00+00:00,287.81,3,863.4300000000001,38,10936.78,buy
2022-10-05 04:00:00+00:00,240.81,4,963.24,42,10114.02,buy
2022-10-12 04:00:00+00:00,217.24,4,868.96,46,9993.04,buy
2022-10-19 04:00:00+00:00,222.04,4,888.16,50,11102.0,buy
2022-10-26 04:00:00+00:00,224.64,4,898.56,54,12130.56,buy
2022-11-02 04:00:00+00:00,214.98,4,859.92,58,12468.84,buy
2022-11-09 05:00:00+00:00,177.59,5,887.95,63,11188.17,buy
2022-11-16 05:00:00+00:00,186.92,5,934.5999999999999,68,12710.56,buy
2022-11-23 05:00:00+00:00,183.2,5,916.0,73,13373.599999999999,buy
2022-11-30 05:00:00+00:00,194.7,5,973.5,78,15186.599999999999,buy
2022-12-07 05:00:00+00:00,174.04,5,870.1999999999999,83,14445.32,buy
2022-12-14 05:00:00+00:00,156.8,6,940.8000000000001,89,13955.2,buy
2022-12-21 05:00:00+00:00,137.57,7,962.99,96,13206.72,buy
2022-12-28 05:00:00+00:00,112.71,8,901.68,104,11721.84,buy
2023-01-04 05:00:00+00:00,113.64,8,909.12,112,12727.68,buy
2023-01-11 05:00:00+00:00,123.22,8,985.76,120,14786.4,buy
2023-01-18 05:00:00+00:00,128.78,7,901.46,127,16355.06,buy
2023-01-25 05:00:00+00:00,144.43,6,866.58,133,19209.190000000002,buy
2023-02-01 05:00:00+00:00,181.41,5,907.05,138,25034.579999999998,buy
2023-02-08 05:00:00+00:00,201.29,4,805.16,142,28583.18,buy
2023-02-15 05:00:00+00:00,214.24,4,856.96,146,31279.04,buy
2023-02-22 05:00:00+00:00,200.86,4,803.44,150,30129.000000000004,buy
2023-03-01 05:00:00+00:00,202.77,4,811.08,154,31226.58,buy
2023-03-08 05:00:00+00:00,182.0,5,910.0,159,28938.0,buy
2023-03-16 04:00:00+00:00,184.13,5,920.65,164,30197.32,buy
2023-03-23 04:00:00+00:00,192.22,5,961.1,169,32485.18,buy
2023-03-30 04:00:00+00:00,195.28,5,976.4,174,33978.72,buy
2023-04-06 04:00:00+00:00,185.06,5,925.3,179,33125.74,buy
2023-04-13 04:00:00+00:00,185.9,5,929.5,184,34205.6,buy
2023-04-20 04:00:00+00:00,162.99,6,977.94,190,30968.100000000002,buy
2023-04-27 04:00:00+00:00,160.19,6,961.14,196,31397.239999999998,buy
2023-05-04 04:00:00+00:00,161.2,6,967.1999999999999,202,32562.399999999998,buy
2023-05-11 04:00:00+00:00,172.08,5,860.4000000000001,207,35620.560000000005,buy
2023-05-18 04:00:00+00:00,176.89,5,884.4499999999999,212,37500.68,buy
2023-05-25 04:00:00+00:00,184.47,5,922.35,217,40029.99,buy
2023-06-01 04:00:00+00:00,207.52,4,830.08,221,45861.920000000006,buy
2023-06-08 04:00:00+00:00,234.86,4,939.44,225,52843.5,buy
2023-06-15 04:00:00+00:00,255.9,3,767.7,228,58345.200000000004,buy
2023-06-22 04:00:00+00:00,264.61,3,793.83,231,61124.91,buy
2023-06-29 04:00:00+00:00,257.5,3,772.5,234,60255.0,buy
2023-07-06 04:00:00+00:00,276.54,3,829.6200000000001,237,65539.98000000001,buy
2023-07-13 04:00:00+00:00,277.9,3,833.6999999999999,240,66696.0,buy
2023-07-20 04:00:00+00:00,262.9,3,788.6999999999999,243,63884.7,buy
2023-07-27 04:00:00+00:00,255.71,3,767.13,246,62904.66,buy
2023-08-03 04:00:00+00:00,259.32,3,777.96,249,64570.68,buy
2023-08-10 04:00:00+00:00,245.34,4,981.36,253,62071.020000000004,buy
2023-08-17 04:00:00+00:00,219.22,4,876.88,257,56339.54,buy
2023-08-24 04:00:00+00:00,230.04,4,920.16,261,60040.439999999995,buy
2023-08-31 04:00:00+00:00,258.08,3,774.24,264,68133.12,buy
2023-09-07 04:00:00+00:00,251.49,3,754.47,267,67147.83,buy
2023-09-14 04:00:00+00:00,276.04,3,828.1200000000001,270,74530.8,buy
2023-09-21 04:00:00+00:00,255.7,3,767.0999999999999,273,69806.09999999999,buy
2023-09-28 04:00:00+00:00,246.38,4,985.52,277,68247.26,buy
2023-10-05 04:00:00+00:00,260.05,3,780.1500000000001,280,72814.0,buy
2023-10-12 04:00:00+00:00,258.87,3,776.61,283,73260.21,buy
2023-10-19 04:00:00+00:00,220.11,4,880.44,287,63171.57000000001,buy
2023-10-26 04:00:00+00:00,205.76,4,823.04,291,59876.159999999996,buy
2023-11-02 04:00:00+00:00,218.51,4,874.04,295,64460.45,buy
2023-11-09 05:00:00+00:00,209.98,4,839.92,299,62784.02,buy
