date,price,shares,investment,position,portfolio_value,type
2022-07-07 04:00:00+00:00,10.18,1964,19993.52,1964,100000.0,buy
2022-08-29 04:00:00+00:00,7.81,-1964,-15338.839999999998,0,95345.31999999999,sell
2022-10-24 04:00:00+00:00,8.27,2305,19062.35,2305,95345.32,buy
2022-11-22 05:00:00+00:00,7.22,-2305,-16642.1,0,92925.07,sell
2023-02-01 05:00:00+00:00,8.2,2266,18581.199999999997,2266,92925.07,buy
2023-03-31 04:00:00+00:00,8.45,-2266,-19147.699999999997,0,93491.57,sell
2023-04-14 04:00:00+00:00,8.81,2122,18694.82,2122,93491.57,buy
2023-05-08 04:00:00+00:00,7.74,-2122,-16424.28,0,91221.03,sell
2023-05-09 04:00:00+00:00,9.55,1910,18240.5,1910,91221.03,buy
2023-08-28 04:00:00+00:00,14.64,-1910,-27962.4,0,100942.93,sell
2023-10-12 04:00:00+00:00,17.94,1125,20182.5,1125,100942.93,buy
2023-12-28 05:00:00+00:00,17.56,-1125,-19755.0,0,100515.43,sell
2024-02-08 05:00:00+00:00,24.51,820,20098.2,820,100515.43,buy
