date,price,shares,investment,position,portfolio_value,type
2022-07-20 04:00:00+00:00,742.5,26,19305.0,26,100000.0,buy
2022-08-31 04:00:00+00:00,275.61,-26,-7165.860000000001,0,87860.86,sell
2023-02-07 05:00:00+00:00,196.81,89,17516.09,89,87860.86,buy
2023-03-31 04:00:00+00:00,207.46,-89,-18463.940000000002,0,88808.71,sell
2023-06-02 04:00:00+00:00,213.97,83,17759.51,83,88808.71,buy
2023-08-15 04:00:00+00:00,232.96,-83,-19335.68,0,90384.88,sell
2023-09-20 04:00:00+00:00,262.59,68,17856.12,68,90384.88,buy
2023-10-23 04:00:00+00:00,212.08,-68,-14421.44,0,86950.20000000001,sell
2023-12-07 05:00:00+00:00,242.64,71,17227.44,71,86950.20000000001,buy
2024-01-22 05:00:00+00:00,208.8,-71,-14824.800000000001,0,84547.56000000001,sell
