date,price,shares,investment,position,portfolio_value,type
2022-03-01 05:00:00+00:00,429.98,2,859.96,2,859.96,buy
2022-03-08 05:00:00+00:00,416.25,2,832.5,4,1665.0,buy
2022-03-16 04:00:00+00:00,435.62,2,871.24,6,2613.7200000000003,buy
2022-03-23 04:00:00+00:00,443.8,3,1331.4,9,3994.2000000000003,buy
2022-04-06 04:00:00+00:00,446.52,4,1786.08,13,5804.76,buy
2022-04-13 04:00:00+00:00,443.31,2,886.62,15,6649.65,buy
2022-04-20 04:00:00+00:00,444.71,2,889.42,17,7560.07,buy
2022-04-27 04:00:00+00:00,417.27,8,3338.16,25,10431.75,buy
2022-05-11 04:00:00+00:00,392.75,8,3142.0,33,12960.75,buy
2022-05-18 04:00:00+00:00,391.86,3,1175.58,36,14106.960000000001,buy
2022-05-25 04:00:00+00:00,397.37,3,1192.1100000000001,39,15497.43,buy
2022-06-15 04:00:00+00:00,379.2,3,1137.6,42,15926.4,buy
2022-06-22 04:00:00+00:00,374.39,3,1123.17,45,16847.55,buy
2022-06-29 04:00:00+00:00,380.34,11,4183.74,56,21299.039999999997,buy
2022-07-06 04:00:00+00:00,383.25,3,1149.75,59,22611.75,buy
2022-08-24 04:00:00+00:00,413.67,3,1241.01,62,25647.54,buy
2022-08-31 04:00:00+00:00,395.18,6,2371.08,68,26872.24,buy
2022-09-07 04:00:00+00:00,397.78,16,6364.48,84,33413.52,buy
2022-09-14 04:00:00+00:00,394.6,4,1578.4,88,34724.8,buy
2022-09-21 04:00:00+00:00,377.39,7,2641.73,95,35852.049999999996,buy
2022-09-28 04:00:00+00:00,370.53,5,1852.6499999999999,100,37053.0,buy
2022-10-05 04:00:00+00:00,377.09,1,377.09,101,38086.09,buy
2022-10-12 04:00:00+00:00,356.56,10,3565.6,111,39578.16,buy
2022-12-28 05:00:00+00:00,376.66,29,10923.140000000001,140,52732.4,buy
2023-03-23 04:00:00+00:00,393.17,2,786.34,142,55830.14,buy
2023-04-20 04:00:00+00:00,411.88,3,1235.6399999999999,145,59722.6,buy
2023-04-27 04:00:00+00:00,412.41,2,824.82,147,60624.270000000004,buy
2023-05-04 04:00:00+00:00,405.13,6,2430.7799999999997,153,61984.89,buy
2023-05-25 04:00:00+00:00,414.65,3,1243.9499999999998,156,64685.399999999994,buy
2023-06-29 04:00:00+00:00,438.11,3,1314.33,159,69659.49,buy
2023-07-06 04:00:00+00:00,439.66,2,879.32,161,70785.26000000001,buy
2023-07-27 04:00:00+00:00,452.49,2,904.98,163,73755.87,buy
2023-08-03 04:00:00+00:00,448.84,4,1795.36,167,74956.28,buy
2023-08-10 04:00:00+00:00,445.91,3,1337.73,170,75804.7,buy
2023-08-17 04:00:00+00:00,436.29,6,2617.7400000000002,176,76787.04000000001,buy
2023-08-24 04:00:00+00:00,436.89,2,873.78,178,77766.42,buy
2023-09-07 04:00:00+00:00,444.85,1,444.85,179,79628.15000000001,buy
2023-09-21 04:00:00+00:00,431.39,11,4745.29,190,81964.09999999999,buy
2023-09-28 04:00:00+00:00,428.52,3,1285.56,193,82704.36,buy
2023-10-05 04:00:00+00:00,424.5,4,1698.0,197,83626.5,buy
2023-10-19 04:00:00+00:00,426.43,4,1705.72,201,85712.43000000001,buy
2023-10-26 04:00:00+00:00,412.55,9,3712.9500000000003,210,86635.5,buy
