date,price,shares,investment,position,portfolio_value,type
2022-03-01 05:00:00+00:00,864.37,1,864.37,1,864.37,buy
2022-03-08 05:00:00+00:00,824.4,1,824.4,2,1648.8,buy
2022-03-16 04:00:00+00:00,840.23,1,840.23,3,2520.69,buy
2022-04-06 04:00:00+00:00,1045.76,1,1045.76,4,4183.04,buy
2022-04-13 04:00:00+00:00,1022.37,1,1022.37,5,5111.85,buy
2022-04-20 04:00:00+00:00,977.2,3,2931.6000000000004,8,7817.6,buy
2022-04-27 04:00:00+00:00,881.51,4,3526.04,12,10578.119999999999,buy
2022-05-11 04:00:00+00:00,734.0,5,3670.0,17,12478.0,buy
2022-05-18 04:00:00+00:00,709.81,3,2129.43,20,14196.199999999999,buy
2022-05-25 04:00:00+00:00,658.8,3,1976.3999999999999,23,15152.4,buy
2022-06-29 04:00:00+00:00,685.47,8,5483.76,31,21249.57,buy
2022-08-31 04:00:00+00:00,275.61,86,23702.460000000003,117,32246.370000000003,buy
2022-09-07 04:00:00+00:00,283.7,1,283.7,118,33476.6,buy
2022-09-21 04:00:00+00:00,300.8,1,300.8,119,35795.200000000004,buy
2022-10-05 04:00:00+00:00,240.81,40,9632.4,159,38288.79,buy
2022-10-12 04:00:00+00:00,217.24,23,4996.52,182,39537.68,buy
2022-10-19 04:00:00+00:00,222.04,1,222.04,183,40633.32,buy
2022-10-26 04:00:00+00:00,224.64,3,673.92,186,41783.04,buy
2022-11-02 04:00:00+00:00,214.98,14,3009.72,200,42996.0,buy
2022-11-09 05:00:00+00:00,177.59,50,8879.5,250,44397.5,buy
2022-11-23 05:00:00+00:00,183.2,5,916.0,255,46716.0,buy
2022-12-14 05:00:00+00:00,156.8,66,10348.800000000001,321,50332.8,buy
2022-12-21 05:00:00+00:00,137.57,54,7428.78,375,51588.75,buy
2022-12-28 05:00:00+00:00,112.71,93,10482.029999999999,468,52748.28,buy
2023-01-04 05:00:00+00:00,113.64,7,795.48,475,53979.0,buy
2023-10-26 04:00:00+00:00,205.76,32,6584.32,507,104320.31999999999,buy
2023-11-09 05:00:00+00:00,209.98,1,209.98,508,106669.84,buy
2024-01-12 05:00:00+00:00,218.89,29,6347.8099999999995,537,117543.93,buy
2024-01-19 05:00:00+00:00,212.19,22,4668.18,559,118614.20999999999,buy
2024-01-26 05:00:00+00:00,183.25,95,17408.75,654,119845.5,buy
